Test_Repo,Prompt_ID,Repeat_Num,Total_Patch_Num,Compilable_Patch_Num,Plausible_Patch_Num,Average_Response_Time,Average_Confidence,Average_Identify_Accuracy,Average_Pass_Rate
berry-5,3,3,3,1,0,5.817648092905681,1.0,0.0,0.2698412698412698
cpp_peglib-4,3,3,3,3,0,6.028071403503418,0.8666666666666667,0.16666666666666666,0.6595744680851064
cppcheck-8,3,3,3,3,0,7.66834831237793,0.8000000000000002,0.3333333333333333,0.6309523809523809
cppcheck-9,3,3,3,3,0,6.9550801912943525,0.9333333333333332,0.0,0.3176470588235294
cppcheck-11,3,3,3,3,0,10.957178751627604,0.7333333333333334,0.0,0.9843137254901961
cppcheck-25,3,3,3,3,0,6.467473268508911,0.8333333333333334,0.0,0.9882352941176471
exiv2-13,3,3,3,3,0,28.901651859283447,0.8166666666666668,0.0,0.5
exiv2-15,3,3,3,3,0,22.828394571940105,0.75,0.0,0.5
libtiff-1,3,1,1,1,0,24.66095542907715,0.5,0.0,0.9878048780487805
openssl-14,1,-1,-1,-1,-1,-1,-1,-1,-1
openssl-24,3,3,3,0,0,17.7935365041097,0.9333333333333332,0.0,0.0
yara-1,3,3,3,1,0,18.984051545461018,0.8833333333333333,0.0,0.33167495854063017
yara-2,3,3,3,3,0,5.108960787455241,0.9,0.5,0.9959016393442623

