Test_Repo,Prompt_ID,Repeat_Num,Total_Patch_Num,Compilable_Patch_Num,Plausible_Patch_Num,Average_Response_Time,Average_Confidence,Average_Identify_Accuracy,Average_Pass_Rate
libucl-6,1,3,3,0,0,4.664830207824707,0.7666666666666666,0.0,0.0
libucl-3,1,3,3,0,0,2.6180498600006104,0.8666666666666667,0.0,0.0
libucl-4,1,3,3,0,0,4.883192141850789,0.8333333333333334,0.0,0.0
libucl-1,1,3,3,0,0,7.72084363301595,0.8000000000000002,0.0,0.0
libucl-2,1,3,3,0,0,2.9277124404907227,0.8666666666666667,0.0,0.0
libtiff-3,1,3,3,3,0,3.398758331934611,0.8333333333333334,0.0,0.9878048780487805
libtiff-4,1,3,3,3,0,9.214125712712606,0.8333333333333334,0.0,0.32926829268292684
libtiff-1,1,2,2,2,0,22.578795552253723,0.95,0.0,0.9878048780487805
libtiff-2,1,3,3,3,0,3.7583442529042563,0.8333333333333334,0.0,0.9878048780487805
cppcheck-30,1,3,3,3,0,10.766979694366455,0.9,0.0,0.0
cppcheck-17,1,3,3,3,0,16.56241464614868,0.7,0.0,0.0
cppcheck-25,1,3,3,3,0,5.740916013717651,0.9,0.0,0.0
cppcheck-20,1,3,3,3,0,10.426340818405151,0.9,1.0,0.989010989010989
cppcheck-29,1,3,3,3,0,5.698517322540283,1.0,0.0,0.0
cppcheck-7,1,3,3,3,0,7.578982830047607,0.7333333333333334,0.0,0.0
libxml2-6,1,3,3,3,0,7.316139141718547,0.8166666666666668,0.0,0.975609756097561
libxml2-3,1,3,3,3,0,4.209953228632609,0.9,0.0,0.975
libxml2-4,1,3,3,2,0,5.063000361124675,0.8000000000000002,0.0,0.6495726495726496
libxml2-1,1,3,3,1,0,3.3656365076700845,0.8666666666666667,0.0,0.325
libxml2-2,1,3,3,3,0,19.21604299545288,0.8000000000000002,0.0,0.975
libxml2-7,1,3,3,0,0,4.515725294748942,0.9,0.0,0.0
wget2-3,1,3,3,0,0,4.002641757329305,0.8333333333333334,0.0,0.0
wget2-1,1,3,3,0,0,4.117090622584025,0.9666666666666667,0.0,0.0
wget2-2,1,3,3,3,0,3.7433739503224692,0.9,0.0,0.9848484848484849
ndpi-4,3,3,3,3,0,7.952595472335815,0.86,0.0,0.0
ndpi-2,3,3,3,3,0,6.72021222114563,0.7,0.0,0.7994987468671679
md4c-9,1,1,1,1,0,22.697712659835815,0.75,0.0,0.1
md4c-10,2,2,2,2,0,21.882347106933594,0.0,0.0,0.7
md4c-4,3,3,3,3,0,7.848178863525391,0.8,0.0,0.0
example-3,3,3,3,3,0,4.5755133628845215,0.9,0.0,0.5333333333333333
example-1,3,3,3,3,0,2.818342685699463,0.9,0.0,0.8
jerryscript-9,3,3,3,3,0,3.0064244270324707,0.8,0.0,0.8571428571428571
